alert_id,transaction_id,rule_id,severity,reason,amount,currency,ts,account_id,counterparty,country
15,72,SanctionsKeywordMatch,high,Counterparty name matches sanctions keyword: 'sanctioned',1000.0,USD,2026-02-15T22:30:38,2,sanctioned entity,GBR
16,77,RapidVelocity,medium,5 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:38:38,3,Retail,FRA
17,78,RapidVelocity,medium,6 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:40:38,3,Retail,FRA
18,1,NetworkRingIndicator,high,Account shares 4 counterparties with 4 other account(s) (ring pattern),1314.91,USD,2026-02-13T21:47:49,1,Trade Ltd,USA
19,2,NetworkRingIndicator,high,Account shares 3 counterparties with 4 other account(s) (ring pattern),565.29,USD,2026-02-13T23:47:49,2,Acme Ltd,GBR
20,3,NetworkRingIndicator,high,Account shares 3 counterparties with 4 other account(s) (ring pattern),1385.73,USD,2026-02-14T01:47:49,3,Pay Ltd,FRA
21,4,NetworkRingIndicator,high,Account shares 3 counterparties with 4 other account(s) (ring pattern),160.39,USD,2026-02-14T03:47:49,4,Global Ltd,DEU
22,5,NetworkRingIndicator,high,Account shares 4 counterparties with 4 other account(s) (ring pattern),542.06,USD,2026-02-14T05:47:49,5,Global Ltd,IR
23,31,HighValueTransaction,high,Transaction amount 50000.0 >= threshold 10000.0,50000.0,USD,2026-02-14T21:47:49,1,Big Payee,USA
24,32,SanctionsKeywordMatch,high,Counterparty name matches sanctions keyword: 'sanctioned',1000.0,USD,2026-02-15T21:47:49,2,sanctioned entity,GBR
25,37,RapidVelocity,medium,5 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T21:55:49,3,Retail,FRA
26,38,RapidVelocity,medium,6 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T21:57:49,3,Retail,FRA
27,71,HighValueTransaction,high,Transaction amount 50000.0 >= threshold 10000.0,50000.0,USD,2026-02-14T22:30:38,1,Big Payee,USA
28,72,SanctionsKeywordMatch,high,Counterparty name matches sanctions keyword: 'sanctioned',1000.0,USD,2026-02-15T22:30:38,2,sanctioned entity,GBR
29,76,RapidVelocity,medium,7 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:36:38,3,Retail,FRA
30,77,RapidVelocity,medium,10 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:38:38,3,Retail,FRA
33,112,SanctionsKeywordMatch,high,Counterparty name matches sanctions keyword: 'sanctioned',1000.0,USD,2026-02-15T22:33:13,2,sanctioned entity,GBR
31,78,RapidVelocity,medium,13 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:40:38,3,Retail,FRA
32,111,HighValueTransaction,high,Transaction amount 50000.0 >= threshold 10000.0,50000.0,USD,2026-02-14T22:33:13,1,Big Payee,USA
34,114,RapidVelocity,medium,6 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:35:13,3,Retail,FRA
35,115,RapidVelocity,medium,9 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:37:13,3,Retail,FRA
36,116,RapidVelocity,medium,12 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:39:13,3,Retail,FRA
37,117,RapidVelocity,medium,15 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:41:13,3,Retail,FRA
38,118,RapidVelocity,medium,17 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:43:13,3,Retail,FRA
39,119,StructuringSmurfing,high,3 transactions just below threshold 9500.0 in 60 min,9200.0,USD,2026-02-17T22:38:13,4,Split Pay,DEU
40,151,HighValueTransaction,high,Transaction amount 50000.0 >= threshold 10000.0,50000.0,USD,2026-02-14T22:34:40,1,Big Payee,USA
41,152,SanctionsKeywordMatch,high,Counterparty name matches sanctions keyword: 'sanctioned',1000.0,USD,2026-02-15T22:34:40,2,sanctioned entity,GBR
42,153,RapidVelocity,medium,5 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:34:40,3,Retail,FRA
43,154,RapidVelocity,medium,8 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:36:40,3,Retail,FRA
44,155,RapidVelocity,medium,11 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:38:40,3,Retail,FRA
45,156,RapidVelocity,medium,14 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:40:40,3,Retail,FRA
46,157,RapidVelocity,medium,16 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:42:40,3,Retail,FRA
48,159,StructuringSmurfing,high,4 transactions just below threshold 9500.0 in 60 min,9200.0,USD,2026-02-17T22:39:40,4,Split Pay,DEU
47,158,RapidVelocity,medium,18 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:44:40,3,Retail,FRA
49,1,NetworkRingIndicator,high,Account shares 4 counterparties with 4 other account(s) (ring pattern),1314.91,USD,2026-02-13T21:47:49,1,Trade Ltd,USA
50,2,NetworkRingIndicator,high,Account shares 3 counterparties with 4 other account(s) (ring pattern),565.29,USD,2026-02-13T23:47:49,2,Acme Ltd,GBR
51,3,NetworkRingIndicator,high,Account shares 3 counterparties with 4 other account(s) (ring pattern),1385.73,USD,2026-02-14T01:47:49,3,Pay Ltd,FRA
52,4,NetworkRingIndicator,high,Account shares 3 counterparties with 4 other account(s) (ring pattern),160.39,USD,2026-02-14T03:47:49,4,Global Ltd,DEU
53,5,NetworkRingIndicator,high,Account shares 4 counterparties with 4 other account(s) (ring pattern),542.06,USD,2026-02-14T05:47:49,5,Global Ltd,IR
54,31,HighValueTransaction,high,Transaction amount 50000.0 >= threshold 10000.0,50000.0,USD,2026-02-14T21:47:49,1,Big Payee,USA
55,32,SanctionsKeywordMatch,high,Counterparty name matches sanctions keyword: 'sanctioned',1000.0,USD,2026-02-15T21:47:49,2,sanctioned entity,GBR
56,37,RapidVelocity,medium,5 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T21:55:49,3,Retail,FRA
57,38,RapidVelocity,medium,6 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T21:57:49,3,Retail,FRA
58,71,HighValueTransaction,high,Transaction amount 50000.0 >= threshold 10000.0,50000.0,USD,2026-02-14T22:30:38,1,Big Payee,USA
59,72,SanctionsKeywordMatch,high,Counterparty name matches sanctions keyword: 'sanctioned',1000.0,USD,2026-02-15T22:30:38,2,sanctioned entity,GBR
60,76,RapidVelocity,medium,7 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:36:38,3,Retail,FRA
61,77,RapidVelocity,medium,10 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:38:38,3,Retail,FRA
62,78,RapidVelocity,medium,13 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:40:38,3,Retail,FRA
63,111,HighValueTransaction,high,Transaction amount 50000.0 >= threshold 10000.0,50000.0,USD,2026-02-14T22:33:13,1,Big Payee,USA
64,112,SanctionsKeywordMatch,high,Counterparty name matches sanctions keyword: 'sanctioned',1000.0,USD,2026-02-15T22:33:13,2,sanctioned entity,GBR
65,114,RapidVelocity,medium,6 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:35:13,3,Retail,FRA
67,116,RapidVelocity,medium,12 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:39:13,3,Retail,FRA
66,115,RapidVelocity,medium,9 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:37:13,3,Retail,FRA
68,117,RapidVelocity,medium,15 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:41:13,3,Retail,FRA
69,118,RapidVelocity,medium,17 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:43:13,3,Retail,FRA
70,119,StructuringSmurfing,high,3 transactions just below threshold 9500.0 in 60 min,9200.0,USD,2026-02-17T22:38:13,4,Split Pay,DEU
71,151,HighValueTransaction,high,Transaction amount 50000.0 >= threshold 10000.0,50000.0,USD,2026-02-14T22:34:40,1,Big Payee,USA
73,153,RapidVelocity,medium,5 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:34:40,3,Retail,FRA
72,152,SanctionsKeywordMatch,high,Counterparty name matches sanctions keyword: 'sanctioned',1000.0,USD,2026-02-15T22:34:40,2,sanctioned entity,GBR
74,154,RapidVelocity,medium,8 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:36:40,3,Retail,FRA
75,155,RapidVelocity,medium,11 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:38:40,3,Retail,FRA
76,156,RapidVelocity,medium,14 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:40:40,3,Retail,FRA
80,191,HighValueTransaction,high,Transaction amount 50000.0 >= threshold 10000.0,50000.0,USD,2026-02-14T22:45:02,1,Big Payee,USA
77,157,RapidVelocity,medium,16 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:42:40,3,Retail,FRA
78,158,RapidVelocity,medium,18 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:44:40,3,Retail,FRA
79,159,StructuringSmurfing,high,4 transactions just below threshold 9500.0 in 60 min,9200.0,USD,2026-02-17T22:39:40,4,Split Pay,DEU
81,192,SanctionsKeywordMatch,high,Counterparty name matches sanctions keyword: 'sanctioned',1000.0,USD,2026-02-15T22:45:02,2,sanctioned entity,GBR
82,193,RapidVelocity,medium,19 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:45:02,3,Retail,FRA
83,194,RapidVelocity,medium,19 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:47:02,3,Retail,FRA
84,195,RapidVelocity,medium,18 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:49:02,3,Retail,FRA
85,196,RapidVelocity,medium,16 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:51:02,3,Retail,FRA
86,197,RapidVelocity,medium,14 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:53:02,3,Retail,FRA
88,199,StructuringSmurfing,high,5 transactions just below threshold 9500.0 in 60 min,9200.0,USD,2026-02-17T22:50:02,4,Split Pay,DEU
87,198,RapidVelocity,medium,12 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:55:02,3,Retail,FRA
89,1,NetworkRingIndicator,high,Account shares 4 counterparties with 4 other account(s) (ring pattern),1314.91,USD,2026-02-13T21:47:49,1,Trade Ltd,USA
90,2,NetworkRingIndicator,high,Account shares 3 counterparties with 4 other account(s) (ring pattern),565.29,USD,2026-02-13T23:47:49,2,Acme Ltd,GBR
91,3,NetworkRingIndicator,high,Account shares 3 counterparties with 4 other account(s) (ring pattern),1385.73,USD,2026-02-14T01:47:49,3,Pay Ltd,FRA
94,31,HighValueTransaction,high,Transaction amount 50000.0 >= threshold 10000.0,50000.0,USD,2026-02-14T21:47:49,1,Big Payee,USA
92,4,NetworkRingIndicator,high,Account shares 3 counterparties with 4 other account(s) (ring pattern),160.39,USD,2026-02-14T03:47:49,4,Global Ltd,DEU
93,5,NetworkRingIndicator,high,Account shares 4 counterparties with 4 other account(s) (ring pattern),542.06,USD,2026-02-14T05:47:49,5,Global Ltd,IR
95,32,SanctionsKeywordMatch,high,Counterparty name matches sanctions keyword: 'sanctioned',1000.0,USD,2026-02-15T21:47:49,2,sanctioned entity,GBR
97,38,RapidVelocity,medium,6 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T21:57:49,3,Retail,FRA
96,37,RapidVelocity,medium,5 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T21:55:49,3,Retail,FRA
98,71,HighValueTransaction,high,Transaction amount 50000.0 >= threshold 10000.0,50000.0,USD,2026-02-14T22:30:38,1,Big Payee,USA
100,76,RapidVelocity,medium,7 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:36:38,3,Retail,FRA
99,72,SanctionsKeywordMatch,high,Counterparty name matches sanctions keyword: 'sanctioned',1000.0,USD,2026-02-15T22:30:38,2,sanctioned entity,GBR
101,77,RapidVelocity,medium,10 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:38:38,3,Retail,FRA
104,112,SanctionsKeywordMatch,high,Counterparty name matches sanctions keyword: 'sanctioned',1000.0,USD,2026-02-15T22:33:13,2,sanctioned entity,GBR
102,78,RapidVelocity,medium,13 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:40:38,3,Retail,FRA
103,111,HighValueTransaction,high,Transaction amount 50000.0 >= threshold 10000.0,50000.0,USD,2026-02-14T22:33:13,1,Big Payee,USA
105,114,RapidVelocity,medium,6 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:35:13,3,Retail,FRA
107,116,RapidVelocity,medium,12 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:39:13,3,Retail,FRA
106,115,RapidVelocity,medium,9 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:37:13,3,Retail,FRA
108,117,RapidVelocity,medium,15 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:41:13,3,Retail,FRA
110,119,StructuringSmurfing,high,3 transactions just below threshold 9500.0 in 60 min,9200.0,USD,2026-02-17T22:38:13,4,Split Pay,DEU
109,118,RapidVelocity,medium,17 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:43:13,3,Retail,FRA
111,151,HighValueTransaction,high,Transaction amount 50000.0 >= threshold 10000.0,50000.0,USD,2026-02-14T22:34:40,1,Big Payee,USA
113,153,RapidVelocity,medium,5 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:34:40,3,Retail,FRA
112,152,SanctionsKeywordMatch,high,Counterparty name matches sanctions keyword: 'sanctioned',1000.0,USD,2026-02-15T22:34:40,2,sanctioned entity,GBR
114,154,RapidVelocity,medium,8 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:36:40,3,Retail,FRA
115,155,RapidVelocity,medium,11 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:38:40,3,Retail,FRA
116,156,RapidVelocity,medium,14 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:40:40,3,Retail,FRA
117,157,RapidVelocity,medium,16 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:42:40,3,Retail,FRA
118,158,RapidVelocity,medium,18 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:44:40,3,Retail,FRA
119,159,StructuringSmurfing,high,4 transactions just below threshold 9500.0 in 60 min,9200.0,USD,2026-02-17T22:39:40,4,Split Pay,DEU
120,191,HighValueTransaction,high,Transaction amount 50000.0 >= threshold 10000.0,50000.0,USD,2026-02-14T22:45:02,1,Big Payee,USA
121,192,SanctionsKeywordMatch,high,Counterparty name matches sanctions keyword: 'sanctioned',1000.0,USD,2026-02-15T22:45:02,2,sanctioned entity,GBR
122,193,RapidVelocity,medium,19 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:45:02,3,Retail,FRA
123,194,RapidVelocity,medium,19 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:47:02,3,Retail,FRA
124,195,RapidVelocity,medium,18 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:49:02,3,Retail,FRA
125,196,RapidVelocity,medium,16 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:51:02,3,Retail,FRA
126,197,RapidVelocity,medium,14 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:53:02,3,Retail,FRA
127,198,RapidVelocity,medium,12 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:55:02,3,Retail,FRA
128,199,StructuringSmurfing,high,5 transactions just below threshold 9500.0 in 60 min,9200.0,USD,2026-02-17T22:50:02,4,Split Pay,DEU
129,224,StructuringSmurfing,high,4 transactions just below threshold 9500.0 in 60 min,1661.42,USD,2026-02-17T23:00:59,4,Pay Ltd,DEU
130,231,HighValueTransaction,high,Transaction amount 50000.0 >= threshold 10000.0,50000.0,USD,2026-02-17T01:00:59,1,Big Payee,USA
131,232,SanctionsKeywordMatch,high,Counterparty name matches sanctions keyword: 'sanctioned',1000.0,USD,2026-02-18T01:00:59,2,sanctioned entity,GBR
132,237,RapidVelocity,medium,5 transactions from same account within 15 minutes,500.0,EUR,2026-02-19T01:08:59,3,Retail,FRA
133,238,RapidVelocity,medium,6 transactions from same account within 15 minutes,500.0,EUR,2026-02-19T01:10:59,3,Retail,FRA
